machines, lead_time_p, mttf, a, ordering_cost, emergency_cost, max_batch_size, sort_degradation, best_value, last_value, probsp_values,  num_gens, samples
1,0.5,10,1,2,5,3,0,0.4267,0.4267,0.6656,2,10000
1,0.2,5,1,2,5,3,0,0.9911,0.9911,1.2691,3,20000
1,0.2,5,1,2,5,5,0,0.9911,0.9911,1.2691,3,20000
1,0.2,5,1,2,10,3,0,1.3387,1.3387,2.1756,3,20000
1,0.2,5,1,2,10,5,0,1.3387,1.3387,2.1756,3,20000
1,0.2,10,1,2,5,3,0,0.5197,0.5197,0.6656,3,20000
1,0.2,10,1,2,5,5,0,0.5197,0.5197,0.6656,3,20000
1,0.2,10,1,2,10,3,0,0.7134,0.7134,1.1411,3,20000
1,0.2,10,1,2,10,5,0,0.7134,0.7134,1.1411,3,20000
1,0.5,5,1,2,5,3,0,0.814,0.8142,1.2691,3,20000
1,0.5,5,1,2,5,5,0,0.814,0.8142,1.2691,3,20000
1,0.5,5,1,2,10,3,0,1.0093,1.0098,2.1756,3,20000
1,0.5,5,1,2,10,5,0,1.0093,1.0098,2.1756,3,20000
1,0.5,10,1,2,5,3,0,0.426,0.426,0.6656,3,20000
1,0.5,10,1,2,5,5,0,0.426,0.426,0.6656,3,20000
1,0.5,10,1,2,10,3,0,0.5305,0.5305,1.1411,3,20000
1,0.5,10,1,2,10,5,0,0.5305,0.5305,1.1411,3,20000
2,0.2,5,1,2,5,3,0,1.6704,1.6704,2.5389,3,20000
2,0.2,5,1,2,5,5,0,1.6704,1.6704,2.5389,3,20000
2,0.2,5,1,2,10,3,0,2.4276,2.4276,4.3525,3,20000
2,0.2,5,1,2,10,5,0,2.4276,2.4276,4.3525,3,20000
2,0.2,10,1,2,5,3,0,0.9593,0.9593,1.3289,3,20000
2,0.2,10,1,2,5,5,0,0.9593,0.9593,1.3289,3,20000
2,0.2,10,1,2,10,3,0,1.3594,1.3594,2.2782,3,20000
2,0.2,10,1,2,10,5,0,1.3594,1.3594,2.2782,3,20000
2,0.5,5,1,2,5,3,0,1.3854,1.3854,2.5389,3,20000
2,0.5,5,1,2,5,5,0,1.3854,1.3854,2.5389,3,20000
2,0.5,5,1,2,10,3,0,1.7214,1.7214,4.3525,3,20000
2,0.5,5,1,2,10,5,0,1.7214,1.7214,4.3525,3,20000
2,0.5,10,1,2,5,3,0,0.7857,0.7857,1.3289,3,20000
2,0.5,10,1,2,5,5,0,0.7857,0.7857,1.3289,3,20000
2,0.5,10,1,2,10,3,0,1.0039,1.0039,2.2782,3,20000
2,0.5,10,1,2,10,5,0,1.0039,1.0039,2.2782,3,20000
5,0.2,5,1,2,5,3,0,3.7002,3.7002,6.3628,3,50000
5,0.2,5,1,2,5,5,0,3.5517,3.5517,6.3628,3,50000
5,0.2,5,1,2,10,3,0,5.9693,5.9693,10.907,3,50000
5,0.2,5,1,2,10,5,0,5.549,5.549,10.907,3,50000
5,0.2,10,1,2,5,3,0,2.0285,2.0285,3.3306,3,50000
5,0.2,10,1,2,5,5,0,2.0288,2.0288,3.3306,3,50000
5,0.2,10,1,2,10,3,0,2.9536,2.9536,5.7096,3,50000
5,0.2,10,1,2,10,5,0,2.9381,2.9381,5.7096,3,50000
5,0.5,5,1,2,5,3,0,2.6756,2.6756,6.3628,3,50000
5,0.5,5,1,2,5,5,0,2.6834,2.6834,6.3628,3,50000
5,0.5,5,1,2,10,3,0,3.4529,3.4529,10.907,3,50000
5,0.5,5,1,2,10,5,0,3.4076,3.4076,10.907,3,50000
5,0.5,10,1,2,5,3,0,1.6538,1.6538,3.3306,3,50000
5,0.5,10,1,2,5,5,0,1.6546,1.6546,3.3306,3,50000
5,0.5,10,1,2,10,3,0,2.0838,2.0838,5.7096,3,50000
5,0.5,10,1,2,10,5,0,2.0753,2.0753,5.7096,3,50000
10,0.2,5,1,2,5,3,0,7.549,7.549,12.728,3,150000
10,0.2,5,1,2,5,5,0,7.282,7.282,12.728,3,150000
1,0.2,20,1,2,5,3,0,0.2648,0.2649,0.3405,3,20000
1,0.2,20,1,2,5,5,0,0.2648,0.2649,0.3405,3,20000
1,0.2,20,1,2,10,3,0,0.3639,0.3639,0.5837,3,20000
1,0.2,20,1,2,10,5,0,0.3639,0.3639,0.5837,3,20000
1,0.5,20,1,2,5,3,0,0.2198,0.2208,0.3405,3,20000
1,0.5,20,1,2,5,5,0,0.2198,0.2208,0.3405,3,20000
1,0.5,20,1,2,10,3,0,0.2724,0.2727,0.5837,3,20000
1,0.5,20,1,2,10,5,0,0.2724,0.2727,0.5837,3,20000
2,0.2,20,1,2,5,3,0,0.5012,0.5012,0.6808,3,20000
2,0.2,20,1,2,5,5,0,0.5012,0.5012,0.6808,3,20000
2,0.2,20,1,2,10,3,0,0.7309,0.7309,1.1671,3,20000
2,0.2,20,1,2,10,5,0,0.7309,0.7309,1.1671,3,20000
2,0.5,20,1,2,5,3,0,0.42,0.42,0.6808,3,20000
2,0.5,20,1,2,5,5,0,0.42,0.42,0.6808,3,20000
2,0.5,20,1,2,10,3,0,0.5393,0.5393,1.1671,3,20000
2,0.5,20,1,2,10,5,0,0.5393,0.5393,1.1671,3,20000
5,0.2,20,1,2,5,3,0,1.1483,1.1483,1.7074,3,50000
5,0.2,20,1,2,5,5,0,1.1525,1.1525,1.7074,3,50000
5,0.2,20,1,2,10,3,0,1.6524,1.6524,2.9271,3,50000
5,0.2,20,1,2,10,5,0,1.6704,1.6704,2.9271,3,50000
5,0.5,20,1,2,5,3,0,0.9667,0.9667,1.7074,3,50000
5,0.5,20,1,2,5,5,0,0.9743,0.9743,1.7074,3,50000
5,0.5,20,1,2,10,3,0,1.2153,1.2153,2.9271,3,50000
5,0.5,20,1,2,10,5,0,1.2046,1.2046,2.9271,3,50000
10,0.2,5,1,2,10,3,0,13.235,13.235,21.819,3,150000
10,0.2,5,1,2,10,5,0,12.098,12.098,21.819,3,150000
10,0.2,10,1,2,5,3,0,3.9179,3.9179,6.6674,3,150000
10,0.2,10,1,2,5,5,0,3.6534,3.6534,6.6674,3,150000
10,0.2,10,1,2,10,3,0,5.5027,5.5027,11.429,3,150000
10,0.2,10,1,2,10,5,0,5.6593,5.6593,11.429,3,150000
10,0.2,20,1,2,5,3,0,2.0472,2.0472,3.4154,3,150000
10,0.2,20,1,2,5,5,0,2.0383,2.0383,3.4154,3,150000
10,0.2,20,1,2,10,3,0,3.0434,3.0434,5.8551,3,150000
